post_id,text,category,borough,location,post_date,likes,shares,comments,engagement_score,sentiment_polarity,sentiment_subjectivity,sentiment_label
post_000000,Asthma attacks increasing in our neighborhood. Something needs to be done about Queens air quality.,health_concern,queens,Queens,2025-05-26T10:59:15.430485,246,83,2,499,0.0,0.0,neutral
post_000001,Asthma attacks increasing in our neighborhood. Something needs to be done about Elmhurst air quality.,health_concern,queens,Elmhurst,2025-04-20T10:59:15.487479,458,52,2,618,0.0,0.0,neutral
post_000002,Heat wave hitting Lowereastside hard. Elderly neighbors struggling without AC. #ClimateChange,environmental_concern,manhattan,Lowereastside,2025-04-25T10:59:15.487479,479,58,28,709,-0.292,0.542,negative
post_000003,Basement flooded AGAIN in Southbronx. City needs better drainage infrastructure! #FloodDamage,flood_concern,bronx,Southbronx,2025-08-22T10:59:15.487479,447,42,21,615,0.625,0.5,positive
post_000004,Chemical smell in Chinatown - anyone else notice this? Worried about health impacts. #Environmental,environmental_concern,manhattan,Chinatown,2025-05-13T10:59:15.487479,333,35,6,450,0.0,0.0,neutral
post_000005,Chemical smell in Flushing - anyone else notice this? Worried about health impacts. #Environmental,environmental_concern,queens,Flushing,2025-08-15T10:59:15.487479,39,26,0,117,0.0,0.0,neutral
post_000006,Subway station at Crownheights completely flooded. How are we supposed to get to work? #MTAFlooding,flood_concern,brooklyn,Crownheights,2025-06-07T10:59:15.487479,341,71,11,576,0.1,0.4,neutral
post_000007,Construction dust in Harlem is making everyone sick. Where's the oversight? #Pollution,environmental_concern,manhattan,Harlem,2025-10-06T10:59:15.488716,240,26,50,418,-0.714,0.857,negative
post_000008,Construction dust in Fordham is making everyone sick. Where's the oversight? #Pollution,environmental_concern,bronx,Fordham,2025-07-30T10:59:15.488716,261,91,21,576,-0.714,0.857,negative
post_000009,Heat wave hitting Midtown hard. Elderly neighbors struggling without AC. #ClimateChange,environmental_concern,manhattan,Midtown,2025-06-27T10:59:15.488716,93,14,32,199,-0.292,0.542,negative
post_000010,Chemical smell in Statenisland - anyone else notice this? Worried about health impacts. #Environmental,environmental_concern,staten_island,Statenisland,2025-06-25T10:59:15.488716,177,97,35,538,0.0,0.0,neutral
post_000011,Construction dust in New Dorp is making everyone sick. Where's the oversight? #Pollution,environmental_concern,staten_island,New Dorp,2025-08-23T10:59:15.488716,338,16,15,416,-0.289,0.656,negative
post_000012,Subway station at Williamsburg completely flooded. How are we supposed to get to work? #MTAFlooding,flood_concern,brooklyn,Williamsburg,2025-09-26T10:59:15.488716,498,60,20,718,0.1,0.4,neutral
post_000013,Storm surge warnings for Mott Haven. Time to move everything upstairs again. #StormSurge,flood_concern,bronx,Mott Haven,2025-05-07T10:59:15.489757,312,74,8,550,0.0,0.0,neutral
post_000014,Basement flooded AGAIN in Statenisland. City needs better drainage infrastructure! #FloodDamage,flood_concern,staten_island,Statenisland,2025-06-08T10:59:15.489757,121,100,26,473,0.625,0.5,positive
post_000015,Chemical smell in Longislandcity - anyone else notice this? Worried about health impacts. #Environmental,environmental_concern,queens,Longislandcity,2025-08-06T10:59:15.489757,272,33,15,401,0.0,0.0,neutral
post_000016,Asthma attacks increasing in our neighborhood. Something needs to be done about Manhattan air quality.,health_concern,manhattan,Manhattan,2025-05-28T10:59:15.489757,193,42,7,333,0.0,0.0,neutral
post_000017,Another trip to the ER because of cough. When will Bedstuy address the air pollution? #PublicHealth,health_concern,brooklyn,Bedstuy,2025-05-15T10:59:15.489757,393,39,24,558,0.0,0.0,neutral
post_000018,Hospital wait times are crazy in Longislandcity. So many people with respiratory issues today.,health_concern,queens,Longislandcity,2025-06-13T10:59:15.489757,282,11,14,343,-0.05,0.7,neutral
post_000019,Asthma attacks increasing in our neighborhood. Something needs to be done about Uppereastside air quality.,health_concern,manhattan,Uppereastside,2025-08-06T10:59:15.489757,74,65,20,309,0.0,0.0,neutral
post_000020,Storm surge warnings for Uppereastside. Time to move everything upstairs again. #StormSurge,flood_concern,manhattan,Uppereastside,2025-07-30T10:59:15.491193,406,30,23,542,0.0,0.0,neutral
post_000021,Hospital wait times are crazy in St George. So many people with respiratory issues today.,health_concern,staten_island,St George,2025-10-04T10:59:15.491193,140,79,41,459,-0.05,0.7,neutral
post_000022,Hospital wait times are crazy in Astoria. So many people with respiratory issues today.,health_concern,queens,Astoria,2025-09-09T10:59:15.491193,23,95,3,314,-0.05,0.7,neutral
post_000023,Subway station at Mott Haven completely flooded. How are we supposed to get to work? #MTAFlooding,flood_concern,bronx,Mott Haven,2025-04-27T10:59:15.491193,305,48,29,507,0.1,0.4,neutral
post_000024,Air quality alert for New Dorp - staying indoors today. #AirPollution #EnvironmentalHealth,environmental_concern,staten_island,New Dorp,2025-08-01T10:59:15.491193,436,46,0,574,0.136,0.455,positive
post_000025,Hospital wait times are crazy in Longislandcity. So many people with respiratory issues today.,health_concern,queens,Longislandcity,2025-09-19T10:59:15.491193,33,51,20,226,-0.05,0.7,neutral
post_000026,Asthma attacks increasing in our neighborhood. Something needs to be done about Parkslope air quality.,health_concern,brooklyn,Parkslope,2025-05-27T10:59:15.492452,71,44,16,235,0.0,0.0,neutral
post_000027,Kids can't play outside in Southbronx - air quality index is through the roof! #HealthAlert,health_concern,bronx,Southbronx,2025-06-04T10:59:15.492452,206,34,43,394,0.0,0.05,neutral
post_000028,Third time this month - Dumbo streets are underwater after heavy rain. #UrbanFlooding,flood_concern,brooklyn,Dumbo,2025-09-17T10:59:15.492452,178,31,48,367,-0.1,0.25,neutral
post_000029,Storm surge warnings for Jackson Heights. Time to move everything upstairs again. #StormSurge,flood_concern,queens,Jackson Heights,2025-05-01T10:59:15.492452,203,86,42,545,0.0,0.0,neutral
post_000030,Basement flooded AGAIN in Bronx. City needs better drainage infrastructure! #FloodDamage,flood_concern,bronx,Bronx,2025-05-19T10:59:15.492452,130,56,18,334,0.625,0.5,positive
post_000031,Air quality is terrible in Astoria today. My asthma is acting up again. #NYC #AirQuality,health_concern,queens,Astoria,2025-08-16T10:59:15.493455,122,28,23,252,-0.5,0.5,negative
post_000032,Chemical smell in Astoria - anyone else notice this? Worried about health impacts. #Environmental,environmental_concern,queens,Astoria,2025-08-06T10:59:15.493455,92,20,42,236,0.0,0.0,neutral
post_000033,Construction dust in Bronx is making everyone sick. Where's the oversight? #Pollution,environmental_concern,bronx,Bronx,2025-07-09T10:59:15.493455,96,28,48,276,-0.714,0.857,negative
post_000034,Construction dust in New Dorp is making everyone sick. Where's the oversight? #Pollution,environmental_concern,staten_island,New Dorp,2025-05-18T10:59:15.493455,489,41,14,640,-0.289,0.656,negative
post_000035,Air quality alert for Harlem - staying indoors today. #AirPollution #EnvironmentalHealth,environmental_concern,manhattan,Harlem,2025-10-09T10:59:15.493455,9,49,1,158,0.0,0.0,neutral
post_000036,Hospital wait times are crazy in Statenisland. So many people with respiratory issues today.,health_concern,staten_island,Statenisland,2025-05-11T10:59:15.494452,100,26,47,272,-0.05,0.7,neutral
post_000037,Hospital wait times are crazy in Tottenville. So many people with respiratory issues today.,health_concern,staten_island,Tottenville,2025-06-26T10:59:15.494452,400,46,36,610,-0.05,0.7,neutral
post_000038,Another trip to the ER because of allergies. When will Bronx address the air pollution? #PublicHealth,health_concern,bronx,Bronx,2025-08-25T10:59:15.494452,184,99,47,575,0.0,0.0,neutral
post_000039,Asthma attacks increasing in our neighborhood. Something needs to be done about Fordham air quality.,health_concern,bronx,Fordham,2025-07-13T10:59:15.494996,365,64,44,645,0.0,0.0,neutral
post_000040,Basement flooded AGAIN in Jackson Heights. City needs better drainage infrastructure! #FloodDamage,flood_concern,queens,Jackson Heights,2025-05-16T10:59:15.494996,70,84,26,374,0.625,0.5,positive
post_000041,Hospital wait times are crazy in New Dorp. So many people with respiratory issues today.,health_concern,staten_island,New Dorp,2025-06-24T10:59:15.494996,9,23,26,130,0.012,0.618,neutral
post_000042,Subway station at Bronx completely flooded. How are we supposed to get to work? #MTAFlooding,flood_concern,bronx,Bronx,2025-07-12T10:59:15.494996,143,91,6,428,0.1,0.4,neutral
post_000043,Kids can't play outside in Bronx - air quality index is through the roof! #HealthAlert,health_concern,bronx,Bronx,2025-08-01T10:59:15.494996,122,42,22,292,0.0,0.05,neutral
post_000044,Basement flooded AGAIN in Fordham. City needs better drainage infrastructure! #FloodDamage,flood_concern,bronx,Fordham,2025-05-22T10:59:15.494996,57,19,19,152,0.625,0.5,positive
post_000045,Subway station at Jackson Heights completely flooded. How are we supposed to get to work? #MTAFlooding,flood_concern,queens,Jackson Heights,2025-06-12T10:59:15.496100,29,30,48,215,0.1,0.4,neutral
post_000046,Another trip to the ER because of breathing problems. When will Jackson Heights address the air pollution? #PublicHealth,health_concern,queens,Jackson Heights,2025-09-20T10:59:15.496100,57,67,32,322,0.0,0.0,neutral
post_000047,Street flooding again in Brooklyn! This happens every time it rains. #Flooding #NYC,flood_concern,brooklyn,Brooklyn,2025-09-17T10:59:15.496100,225,38,23,385,0.0,0.0,neutral
post_000048,Storm surge warnings for Longislandcity. Time to move everything upstairs again. #StormSurge,flood_concern,queens,Longislandcity,2025-04-28T10:59:15.496100,180,48,26,376,0.0,0.0,neutral
post_000049,Air quality alert for Midtown - staying indoors today. #AirPollution #EnvironmentalHealth,environmental_concern,manhattan,Midtown,2025-05-11T10:59:15.496100,47,100,32,411,0.0,0.0,neutral
post_000050,Chemical smell in Harlem - anyone else notice this? Worried about health impacts. #Environmental,environmental_concern,manhattan,Harlem,2025-05-05T10:59:15.496100,112,41,4,243,0.0,0.0,neutral
post_000051,Street flooding again in Crownheights! This happens every time it rains. #Flooding #NYC,flood_concern,brooklyn,Crownheights,2025-06-02T10:59:15.497138,474,15,26,571,0.0,0.0,neutral
post_000052,Storm surge warnings for Bedstuy. Time to move everything upstairs again. #StormSurge,flood_concern,brooklyn,Bedstuy,2025-06-07T10:59:15.497138,83,47,27,278,0.0,0.0,neutral
post_000053,Hospital wait times are crazy in Huntspoint. So many people with respiratory issues today.,health_concern,bronx,Huntspoint,2025-09-16T10:59:15.497138,77,33,41,258,-0.05,0.7,neutral
post_000054,Hospital wait times are crazy in Longislandcity. So many people with respiratory issues today.,health_concern,queens,Longislandcity,2025-06-20T10:59:15.497138,416,75,26,693,-0.05,0.7,neutral
post_000055,Hospital wait times are crazy in Fordham. So many people with respiratory issues today.,health_concern,bronx,Fordham,2025-04-25T10:59:15.497138,238,58,25,462,-0.05,0.7,neutral
post_000056,Chemical smell in Southbronx - anyone else notice this? Worried about health impacts. #Environmental,environmental_concern,bronx,Southbronx,2025-07-11T10:59:15.498113,268,95,36,625,0.0,0.0,neutral
post_000057,Street flooding again in Crownheights! This happens every time it rains. #Flooding #NYC,flood_concern,brooklyn,Crownheights,2025-08-31T10:59:15.498113,366,1,41,451,0.0,0.0,neutral
post_000058,Subway station at Midtown completely flooded. How are we supposed to get to work? #MTAFlooding,flood_concern,manhattan,Midtown,2025-08-23T10:59:15.498113,57,95,50,442,0.1,0.4,neutral
post_000059,Kids can't play outside in Queens - air quality index is through the roof! #HealthAlert,health_concern,queens,Queens,2025-06-02T10:59:15.499223,169,43,19,336,0.0,0.05,neutral
post_000060,"Green space in Harlem being destroyed for development. We need more trees, not less! #Environment",environmental_concern,manhattan,Harlem,2025-09-27T10:59:15.499223,392,92,49,766,0.135,0.289,positive
post_000061,Basement flooded AGAIN in Tottenville. City needs better drainage infrastructure! #FloodDamage,flood_concern,staten_island,Tottenville,2025-08-28T10:59:15.499223,310,26,46,480,0.625,0.5,positive
post_000062,Asthma attacks increasing in our neighborhood. Something needs to be done about Brooklyn air quality.,health_concern,brooklyn,Brooklyn,2025-09-12T10:59:15.499223,97,48,12,265,0.0,0.0,neutral
post_000063,Hospital wait times are crazy in Harlem. So many people with respiratory issues today.,health_concern,manhattan,Harlem,2025-10-06T10:59:15.500490,154,75,45,469,-0.05,0.7,neutral
post_000064,Heat wave hitting Elmhurst hard. Elderly neighbors struggling without AC. #ClimateChange,environmental_concern,queens,Elmhurst,2025-05-30T10:59:15.500490,77,90,18,383,-0.292,0.542,negative
post_000065,Air quality alert for Queens - staying indoors today. #AirPollution #EnvironmentalHealth,environmental_concern,queens,Queens,2025-08-26T10:59:15.500490,18,56,32,250,0.0,0.0,neutral
post_000066,Third time this month - Queens streets are underwater after heavy rain. #UrbanFlooding,flood_concern,queens,Queens,2025-10-06T10:59:15.500490,139,20,44,287,-0.1,0.25,neutral
post_000067,Kids can't play outside in Dumbo - air quality index is through the roof! #HealthAlert,health_concern,brooklyn,Dumbo,2025-07-12T10:59:15.500490,492,92,16,800,0.0,0.05,neutral
post_000068,Air quality alert for Uppereastside - staying indoors today. #AirPollution #EnvironmentalHealth,environmental_concern,manhattan,Uppereastside,2025-06-12T10:59:15.500490,21,83,14,298,0.0,0.0,neutral
post_000069,Kids can't play outside in Crownheights - air quality index is through the roof! #HealthAlert,health_concern,brooklyn,Crownheights,2025-06-27T10:59:15.501487,462,59,9,657,0.0,0.05,neutral
post_000070,Heat wave hitting Jackson Heights hard. Elderly neighbors struggling without AC. #ClimateChange,environmental_concern,queens,Jackson Heights,2025-08-02T10:59:15.501487,177,97,40,548,-0.292,0.542,negative
post_000071,"Green space in Crownheights being destroyed for development. We need more trees, not less! #Environment",environmental_concern,brooklyn,Crownheights,2025-04-28T10:59:15.501487,217,12,9,271,0.135,0.289,positive
post_000072,Asthma attacks increasing in our neighborhood. Something needs to be done about Lowereastside air quality.,health_concern,manhattan,Lowereastside,2025-08-17T10:59:15.501487,377,75,14,630,0.0,0.0,neutral
post_000073,Asthma attacks increasing in our neighborhood. Something needs to be done about Harlem air quality.,health_concern,manhattan,Harlem,2025-06-25T10:59:15.502462,500,29,12,611,0.0,0.0,neutral
post_000074,Hospital wait times are crazy in Statenisland. So many people with respiratory issues today.,health_concern,staten_island,Statenisland,2025-05-22T10:59:15.502462,83,27,41,246,-0.05,0.7,neutral
